target_multiclass_index,prediction,count,task,model
8.0,8.0,108,multiclass,logistic_regression
1.0,3.0,24,multiclass,logistic_regression
6.0,0.0,22,multiclass,logistic_regression
7.0,0.0,6,multiclass,logistic_regression
6.0,1.0,4,multiclass,logistic_regression
9.0,8.0,1,multiclass,logistic_regression
9.0,4.0,2,multiclass,logistic_regression
1.0,5.0,195,multiclass,logistic_regression
5.0,0.0,2,multiclass,logistic_regression
2.0,8.0,250,multiclass,logistic_regression
10.0,0.0,1,multiclass,logistic_regression
2.0,2.0,1343,multiclass,logistic_regression
1.0,1.0,209,multiclass,logistic_regression
1.0,0.0,4,multiclass,logistic_regression
4.0,2.0,2,multiclass,logistic_regression
1.0,6.0,8,multiclass,logistic_regression
1.0,4.0,3,multiclass,logistic_regression
7.0,3.0,1,multiclass,logistic_regression
6.0,6.0,232,multiclass,logistic_regression
3.0,1.0,8,multiclass,logistic_regression
2.0,5.0,12,multiclass,logistic_regression
5.0,3.0,7,multiclass,logistic_regression
3.0,9.0,7,multiclass,logistic_regression
5.0,9.0,3,multiclass,logistic_regression
3.0,6.0,107,multiclass,logistic_regression
2.0,0.0,27,multiclass,logistic_regression
7.0,7.0,83,multiclass,logistic_regression
2.0,1.0,4,multiclass,logistic_regression
7.0,4.0,1,multiclass,logistic_regression
4.0,7.0,1,multiclass,logistic_regression
7.0,10.0,1,multiclass,logistic_regression
1.0,7.0,1,multiclass,logistic_regression
2.0,4.0,10,multiclass,logistic_regression
3.0,3.0,602,multiclass,logistic_regression
8.0,2.0,11,multiclass,logistic_regression
2.0,10.0,18,multiclass,logistic_regression
2.0,3.0,6,multiclass,logistic_regression
3.0,7.0,4,multiclass,logistic_regression
2.0,9.0,2,multiclass,logistic_regression
4.0,4.0,248,multiclass,logistic_regression
1.0,8.0,1,multiclass,logistic_regression
3.0,5.0,2,multiclass,logistic_regression
6.0,2.0,2,multiclass,logistic_regression
4.0,0.0,4,multiclass,logistic_regression
3.0,2.0,1,multiclass,logistic_regression
2.0,6.0,38,multiclass,logistic_regression
2.0,7.0,12,multiclass,logistic_regression
5.0,1.0,17,multiclass,logistic_regression
3.0,10.0,10,multiclass,logistic_regression
3.0,8.0,26,multiclass,logistic_regression
10.0,10.0,36,multiclass,logistic_regression
3.0,4.0,2,multiclass,logistic_regression
8.0,3.0,3,multiclass,logistic_regression
6.0,3.0,17,multiclass,logistic_regression
9.0,9.0,100,multiclass,logistic_regression
4.0,8.0,1,multiclass,logistic_regression
7.0,6.0,1,multiclass,logistic_regression
5.0,5.0,98,multiclass,logistic_regression
10.0,2.0,4,multiclass,logistic_regression
3.0,0.0,4,multiclass,logistic_regression
0.0,9.0,66,multiclass,logistic_regression
0.0,8.0,170,multiclass,logistic_regression
0.0,1.0,22,multiclass,logistic_regression
0.0,0.0,2578,multiclass,logistic_regression
0.0,5.0,133,multiclass,logistic_regression
0.0,7.0,141,multiclass,logistic_regression
0.0,10.0,70,multiclass,logistic_regression
0.0,4.0,48,multiclass,logistic_regression
0.0,6.0,259,multiclass,logistic_regression
0.0,3.0,55,multiclass,logistic_regression
0.0,2.0,104,multiclass,logistic_regression
8.0,8.0,118,multiclass,random_forest
6.0,0.0,37,multiclass,random_forest
7.0,0.0,4,multiclass,random_forest
1.0,3.0,2,multiclass,random_forest
5.0,0.0,14,multiclass,random_forest
2.0,8.0,25,multiclass,random_forest
10.0,0.0,1,multiclass,random_forest
2.0,2.0,1660,multiclass,random_forest
1.0,1.0,409,multiclass,random_forest
1.0,0.0,32,multiclass,random_forest
4.0,2.0,1,multiclass,random_forest
1.0,6.0,2,multiclass,random_forest
6.0,6.0,240,multiclass,random_forest
4.0,1.0,1,multiclass,random_forest
5.0,9.0,1,multiclass,random_forest
2.0,0.0,36,multiclass,random_forest
7.0,7.0,89,multiclass,random_forest
8.0,0.0,3,multiclass,random_forest
3.0,3.0,767,multiclass,random_forest
2.0,3.0,1,multiclass,random_forest
8.0,2.0,1,multiclass,random_forest
4.0,4.0,246,multiclass,random_forest
4.0,0.0,8,multiclass,random_forest
5.0,1.0,1,multiclass,random_forest
10.0,10.0,40,multiclass,random_forest
9.0,0.0,5,multiclass,random_forest
9.0,9.0,98,multiclass,random_forest
5.0,5.0,111,multiclass,random_forest
3.0,0.0,6,multiclass,random_forest
0.0,9.0,1,multiclass,random_forest
0.0,8.0,15,multiclass,random_forest
0.0,1.0,3,multiclass,random_forest
0.0,0.0,3470,multiclass,random_forest
0.0,5.0,1,multiclass,random_forest
0.0,7.0,85,multiclass,random_forest
0.0,4.0,10,multiclass,random_forest
0.0,3.0,16,multiclass,random_forest
0.0,6.0,7,multiclass,random_forest
0.0,2.0,38,multiclass,random_forest
8.0,8.0,117,multiclass,decision_tree
6.0,0.0,30,multiclass,decision_tree
7.0,0.0,2,multiclass,decision_tree
6.0,1.0,1,multiclass,decision_tree
1.0,3.0,2,multiclass,decision_tree
9.0,4.0,1,multiclass,decision_tree
6.0,7.0,8,multiclass,decision_tree
5.0,0.0,14,multiclass,decision_tree
1.0,5.0,1,multiclass,decision_tree
2.0,8.0,26,multiclass,decision_tree
2.0,2.0,1657,multiclass,decision_tree
1.0,1.0,402,multiclass,decision_tree
1.0,0.0,24,multiclass,decision_tree
1.0,6.0,5,multiclass,decision_tree
7.0,3.0,1,multiclass,decision_tree
6.0,6.0,229,multiclass,decision_tree
3.0,1.0,18,multiclass,decision_tree
