attribute_1,attribute_2,pearson_correlation
n_samples,n_samples,1.0
n_samples,u1_norm_avg,0.013483092613545957
n_samples,u1_norm_max,0.08064135265626647
n_samples,u1_norm_min,-0.015570278595501412
n_samples,u1_norm_skewness,0.03934625597346722
n_samples,u1_norm_kurtosis,-0.016040250498522087
n_samples,u2_norm_avg,0.04281006258972161
n_samples,u2_norm_max,0.12657397910083254
n_samples,u2_norm_min,0.0049924686384588066
n_samples,u2_norm_skewness,0.04049812722494066
n_samples,u2_norm_kurtosis,-0.01840304274856104
n_samples,u3_norm_avg,0.019996650671827917
n_samples,u3_norm_max,0.05891334721732619
n_samples,u3_norm_min,-0.0034671370023811746
n_samples,u3_norm_skewness,0.024123457667000955
n_samples,u3_norm_kurtosis,-0.015070260735419219
n_samples,i1_norm_avg,-0.05283173956611991
n_samples,i1_norm_max,0.0010885557165413557
n_samples,i1_norm_min,-0.10089711149059351
n_samples,i1_norm_skewness,-0.07047819643429012
n_samples,i1_norm_kurtosis,-0.02764342077694047
n_samples,i2_norm_avg,-0.03929051411865621
n_samples,i2_norm_max,0.012322857724765638
n_samples,i2_norm_min,-0.09129861119213366
n_samples,i2_norm_skewness,-0.06309757778845641
n_samples,i2_norm_kurtosis,-0.05469916306737368
n_samples,i3_norm_avg,0.17659164017378903
n_samples,i3_norm_max,0.17511046502167554
n_samples,i3_norm_min,-0.006583396611833393
n_samples,i3_norm_skewness,-0.0965274953381039
n_samples,i3_norm_kurtosis,-0.04345013154768904
u1_norm_avg,n_samples,0.013483092613545957
u1_norm_avg,u1_norm_avg,1.0
u1_norm_avg,u1_norm_max,0.9469988478122938
u1_norm_avg,u1_norm_min,0.9300535680198146
u1_norm_avg,u1_norm_skewness,-0.3645795093474618
u1_norm_avg,u1_norm_kurtosis,0.15363825355868801
u1_norm_avg,u2_norm_avg,0.9192628730593253
u1_norm_avg,u2_norm_max,0.8703397666467872
u1_norm_avg,u2_norm_min,0.8565261633046088
u1_norm_avg,u2_norm_skewness,-0.3427286046398083
u1_norm_avg,u2_norm_kurtosis,0.19695218964473069
u1_norm_avg,u3_norm_avg,0.9214589792221867
u1_norm_avg,u3_norm_max,0.8580324062656856
u1_norm_avg,u3_norm_min,0.8659832534765544
u1_norm_avg,u3_norm_skewness,-0.34025977135509544
u1_norm_avg,u3_norm_kurtosis,0.11218933730666587
u1_norm_avg,i1_norm_avg,-0.00047123851368721854
u1_norm_avg,i1_norm_max,0.003952080016045603
u1_norm_avg,i1_norm_min,-0.012220195256922486
u1_norm_avg,i1_norm_skewness,-0.07700336256114865
u1_norm_avg,i1_norm_kurtosis,-0.05869672576953572
u1_norm_avg,i2_norm_avg,-0.07223987376043224
u1_norm_avg,i2_norm_max,-0.028184586175827246
u1_norm_avg,i2_norm_min,-0.0583705913554977
u1_norm_avg,i2_norm_skewness,0.002490175740465649
u1_norm_avg,i2_norm_kurtosis,-0.019913115576313836
u1_norm_avg,i3_norm_avg,-0.02592737851161496
u1_norm_avg,i3_norm_max,-0.03210571701566687
u1_norm_avg,i3_norm_min,-0.017112763894527174
u1_norm_avg,i3_norm_skewness,-0.011339566134276847
u1_norm_avg,i3_norm_kurtosis,-0.03713337647434564
u1_norm_max,n_samples,0.08064135265626647
u1_norm_max,u1_norm_avg,0.9469988478122938
u1_norm_max,u1_norm_max,1.0
u1_norm_max,u1_norm_min,0.8445625329154062
u1_norm_max,u1_norm_skewness,-0.2187272967523803
u1_norm_max,u1_norm_kurtosis,0.13034237128280016
u1_norm_max,u2_norm_avg,0.8778983191164417
u1_norm_max,u2_norm_max,0.9149426892230147
u1_norm_max,u2_norm_min,0.7801705245032473
u1_norm_max,u2_norm_skewness,-0.2369316129012517
u1_norm_max,u2_norm_kurtosis,0.13741375903621997
u1_norm_max,u3_norm_avg,0.8762445999945214
u1_norm_max,u3_norm_max,0.8956747184349076
u1_norm_max,u3_norm_min,0.7895875552969077
u1_norm_max,u3_norm_skewness,-0.21334873454065928
u1_norm_max,u3_norm_kurtosis,0.10413660159978332
u1_norm_max,i1_norm_avg,0.03274580710210815
u1_norm_max,i1_norm_max,0.03896293829260605
u1_norm_max,i1_norm_min,0.0034953103091658667
u1_norm_max,i1_norm_skewness,-0.09226375418833577
u1_norm_max,i1_norm_kurtosis,-0.05051830625653654
u1_norm_max,i2_norm_avg,-0.04380326588233099
u1_norm_max,i2_norm_max,0.013325722815883345
u1_norm_max,i2_norm_min,-0.058579063585695375
u1_norm_max,i2_norm_skewness,-0.0289556056501392
u1_norm_max,i2_norm_kurtosis,-0.03601047420079701
u1_norm_max,i3_norm_avg,0.03410367609275311
u1_norm_max,i3_norm_max,0.030637378168390562
u1_norm_max,i3_norm_min,0.0051208482889983685
u1_norm_max,i3_norm_skewness,-0.034957296837986415
u1_norm_max,i3_norm_kurtosis,-0.034311804506566575
u1_norm_min,n_samples,-0.015570278595501412
u1_norm_min,u1_norm_avg,0.9300535680198146
u1_norm_min,u1_norm_max,0.8445625329154062
u1_norm_min,u1_norm_min,1.0
u1_norm_min,u1_norm_skewness,-0.24862298917360132
u1_norm_min,u1_norm_kurtosis,0.13798951612988888
u1_norm_min,u2_norm_avg,0.8560929998229837
u1_norm_min,u2_norm_max,0.7740624712056409
u1_norm_min,u2_norm_min,0.9129164812850689
u1_norm_min,u2_norm_skewness,-0.2543275144243867
u1_norm_min,u2_norm_kurtosis,0.174369413803228
u1_norm_min,u3_norm_avg,0.8563353555688811
u1_norm_min,u3_norm_max,0.7654439317054499
u1_norm_min,u3_norm_min,0.9165640181426239
u1_norm_min,u3_norm_skewness,-0.22366919441821034
u1_norm_min,u3_norm_kurtosis,0.07524271248388012
u1_norm_min,i1_norm_avg,-0.034160847457177436
u1_norm_min,i1_norm_max,-0.04484451269389753
u1_norm_min,i1_norm_min,-0.021873521457567734
u1_norm_min,i1_norm_skewness,-0.05311615981039606
u1_norm_min,i1_norm_kurtosis,-0.05357528023764229
